epoch 049/60 | loss 0.5668 | train_acc 79.75% | test_acc 77.44%
epoch 050/60 | loss 0.5624 | train_acc 80.24% | test_acc 77.73%
epoch 051/60 | loss 0.5522 | train_acc 80.24% | test_acc 78.55%
epoch 052/60 | loss 0.5344 | train_acc 80.97% | test_acc 78.35%
epoch 053/60 | loss 0.5286 | train_acc 81.25% | test_acc 78.38%
epoch 054/60 | loss 0.5216 | train_acc 81.37% | test_acc 78.64%
epoch 055/60 | loss 0.5111 | train_acc 81.81% | test_acc 79.06%
epoch 056/60 | loss 0.5083 | train_acc 81.97% | test_acc 78.81%
epoch 057/60 | loss 0.5027 | train_acc 82.11% | test_acc 79.21%
epoch 058/60 | loss 0.4965 | train_acc 82.40% | test_acc 79.35%
epoch 059/60 | loss 0.4951 | train_acc 82.44% | test_acc 79.41%
epoch 060/60 | loss 0.4950 | train_acc 82.39% | test_acc 79.20%

================================================================
run 73/81 | lr=0.001 wd=0.15 bs=128 drop_path_rate=0.0
================================================================
epoch 001/60 | loss 2.0769 | train_acc 23.55% | test_acc 26.26%
epoch 002/60 | loss 1.7502 | train_acc 34.83% | test_acc 41.54%
epoch 003/60 | loss 1.4891 | train_acc 45.04% | test_acc 48.74%
epoch 004/60 | loss 1.3929 | train_acc 49.37% | test_acc 53.58%
epoch 005/60 | loss 1.4047 | train_acc 48.88% | test_acc 51.26%
epoch 006/60 | loss 1.4401 | train_acc 47.15% | test_acc 49.42%
epoch 007/60 | loss 1.4147 | train_acc 48.82% | test_acc 51.33%
epoch 008/60 | loss 1.3590 | train_acc 50.55% | test_acc 51.26%
epoch 009/60 | loss 1.3242 | train_acc 51.91% | test_acc 52.54%
epoch 010/60 | loss 1.2881 | train_acc 53.24% | test_acc 55.68%
epoch 011/60 | loss 1.2373 | train_acc 54.98% | test_acc 57.47%
epoch 012/60 | loss 1.1893 | train_acc 57.19% | test_acc 58.60%
epoch 013/60 | loss 1.1533 | train_acc 58.21% | test_acc 59.81%
epoch 014/60 | loss 1.0948 | train_acc 60.73% | test_acc 60.07%
epoch 015/60 | loss 1.0460 | train_acc 62.60% | test_acc 65.74%
epoch 016/60 | loss 0.9933 | train_acc 64.52% | test_acc 65.42%
epoch 017/60 | loss 0.9350 | train_acc 66.42% | test_acc 67.20%
epoch 018/60 | loss 0.8892 | train_acc 68.29% | test_acc 69.35%
epoch 019/60 | loss 0.8531 | train_acc 69.81% | test_acc 70.64%
epoch 020/60 | loss 0.8104 | train_acc 71.33% | test_acc 71.08%
epoch 021/60 | loss 0.7802 | train_acc 72.59% | test_acc 72.28%
epoch 022/60 | loss 0.7516 | train_acc 73.52% | test_acc 72.91%
epoch 023/60 | loss 0.7253 | train_acc 74.40% | test_acc 72.47%
epoch 024/60 | loss 0.6849 | train_acc 76.02% | test_acc 73.30%
epoch 025/60 | loss 0.6590 | train_acc 76.65% | test_acc 76.08%
epoch 026/60 | loss 0.6389 | train_acc 77.49% | test_acc 76.04%
epoch 027/60 | loss 0.6174 | train_acc 78.07% | test_acc 76.49%
epoch 028/60 | loss 0.5926 | train_acc 79.04% | test_acc 77.03%
epoch 029/60 | loss 0.5683 | train_acc 79.97% | test_acc 78.81%
epoch 030/60 | loss 0.5443 | train_acc 80.96% | test_acc 77.67%
epoch 031/60 | loss 0.5251 | train_acc 81.41% | test_acc 78.93%
epoch 032/60 | loss 0.5042 | train_acc 82.15% | test_acc 78.23%
epoch 033/60 | loss 0.4852 | train_acc 82.77% | test_acc 79.36%
epoch 034/60 | loss 0.4567 | train_acc 83.66% | test_acc 79.70%
epoch 035/60 | loss 0.4344 | train_acc 84.66% | test_acc 79.69%
epoch 036/60 | loss 0.4137 | train_acc 85.28% | test_acc 79.53%
epoch 037/60 | loss 0.3910 | train_acc 85.93% | test_acc 80.56%
epoch 038/60 | loss 0.3720 | train_acc 86.75% | test_acc 80.74%
epoch 039/60 | loss 0.3470 | train_acc 87.45% | test_acc 80.92%
epoch 040/60 | loss 0.3225 | train_acc 88.55% | test_acc 81.24%
epoch 041/60 | loss 0.3031 | train_acc 89.15% | test_acc 80.80%
epoch 042/60 | loss 0.2774 | train_acc 90.13% | test_acc 81.13%
